,name,team,minutes
604,Charlie Taylor,Burnley,90.0
605,Dara O'Shea,Burnley,90.0
609,Ameen Al-Dakhil,Burnley,0.0
611,Luke McNally,Burnley,0.0
616,Tom Lockyer,Luton,90.0
626,Mads Juel Andersen,Luton,0.0
628,Alfie Doughty,Luton,78.0
629,Reece Burke,Luton,0.0
638,Dan Potts,Luton,0.0
640,Gabriel Osho,Luton,90.0
644,Issa Kaboré,Luton,0.0
646,Ryan Giles,Luton,0.0
649,Amari'i Bell,Luton,90.0
652,Jack Robinson,Sheffield Utd,90.0
653,Aidan Francis-Clarke,Luton,0.0
654,Anel Ahmedhodžić,Sheffield Utd,45.0
662,Max Lowe,Sheffield Utd,0.0
663,Chris Basham,Sheffield Utd,0.0
664,Yasser Larouci,Sheffield Utd,0.0
667,George Baldock,Sheffield Utd,90.0
670,Rhys Norrington-Davies,Sheffield Utd,0.0
672,Jayden Bogle,Sheffield Utd,45.0
674,John Egan,Sheffield Utd,0.0
675,Auston Trusty,Sheffield Utd,90.0
677,Kevin Mbabu,Fulham,0.0
681,Kenny Tete,Fulham,0.0
682,Issa Diop,Fulham,0.0
686,Tim Ream,Fulham,90.0
691,Antonee Robinson,Fulham,90.0
694,Tosin Adarabioyo,Fulham,1.0
698,Calvin Bassey,Fulham,90.0
700,Terence Kongolo,Fulham,0.0
704,Luc De Fougerolles,Fulham,0.0
709,Alfie Gilchrist,Chelsea,0.0
711,Andrew Omobamidele,Nott'm Forest,0.0
715,Luke Thomas,Sheffield Utd,0.0
716,Murillo Santiago Costa dos Santos,Nott'm Forest,77.0
