,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,id,name,cost,position,home_team,away_team,team_x
28,578,151,Aston Villa,1,False,2023-12-09T17:30:00Z,1,0,16,1,0,0,0,0,0,0,0,0,0,0,0,5,7.0,0.3,0.0,0.7,0,0.00,0.00,0.00,0.09,49,-94,4248,80,174,578,Reiss Nelson,49,MID,Liverpool,Arsenal,Arsenal
29,585,151,Aston Villa,0,False,2023-12-09T17:30:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,46,-334,47790,33,367,585,Jurriën Timber,46,DEF,Liverpool,Arsenal,Arsenal
30,646,151,Aston Villa,0,False,2023-12-09T17:30:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-29,5233,114,143,646,Karl Hein,40,GKP,Liverpool,Arsenal,Arsenal
31,32,151,Arsenal,1,True,2023-12-09T17:30:00Z,1,0,16,12,0,0,0,0,0,0,0,0,0,0,0,2,5.2,0.1,0.0,0.5,0,0.00,0.00,0.00,0.05,50,1033,13326,1958,925,32,Alexandre Moreno Lopera,50,DEF,Aston Villa,Sheffield Utd,Aston Villa
32,34,151,Arsenal,4,True,2023-12-09T17:30:00Z,1,0,16,45,0,1,0,0,0,0,0,0,0,0,0,13,19.0,10.8,4.0,3.4,1,0.00,0.33,0.33,0.72,55,50953,157788,54045,3092,34,Leon Bailey,56,MID,Aston Villa,Sheffield Utd,Aston Villa
33,35,151,Arsenal,0,True,2023-12-09T17:30:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,57,-8,4005,21,29,35,Emiliano Buendía Stati,57,MID,Aston Villa,Sheffield Utd,Aston Villa
34,36,151,Arsenal,1,True,2023-12-09T17:30:00Z,1,0,16,24,0,0,0,0,0,0,0,0,0,0,0,4,5.4,0.3,1.0,0.7,0,0.02,0.00,0.02,0.12,48,-215226,2399269,15816,231042,36,Matty Cash,47,DEF,Aston Villa,Sheffield Utd,Aston Villa
35,37,151,Arsenal,0,True,2023-12-09T17:30:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,39,-490,104674,1649,2139,37,Calum Chambers,39,DEF,Aston Villa,Sheffield Utd,Aston Villa
36,38,151,Arsenal,0,True,2023-12-09T17:30:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,58,-61,18542,0,61,38,Philippe Coutinho Correia,58,MID,Aston Villa,Sheffield Utd,Aston Villa
37,39,151,Arsenal,0,True,2023-12-09T17:30:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,-92,12700,0,92,39,Keinan Davis,49,FWD,Aston Villa,Sheffield Utd,Aston Villa
38,40,151,Arsenal,1,True,2023-12-09T17:30:00Z,1,0,16,24,0,0,0,0,0,0,0,0,0,0,0,3,6.2,0.0,2.0,0.8,0,0.03,0.00,0.03,0.12,49,-9,1911,49,58,40,Leander Dendoncker,49,MID,Aston Villa,Sheffield Utd,Aston Villa
39,41,151,Arsenal,6,True,2023-12-09T17:30:00Z,1,0,16,90,0,0,1,0,0,0,0,1,0,0,1,26,22.2,0.8,0.0,2.3,1,0.00,0.01,0.01,1.36,44,1767,33967,2285,518,41,Diego Carlos Santos Silva,44,DEF,Aston Villa,Sheffield Utd,Aston Villa
40,42,151,Arsenal,5,True,2023-12-09T17:30:00Z,1,0,16,77,0,0,1,0,0,0,0,1,0,0,0,13,5.4,1.3,19.0,2.6,1,0.09,0.01,0.10,1.32,47,5356,601991,22024,16668,42,Lucas Digne,47,DEF,Aston Villa,Sheffield Utd,Aston Villa
41,43,151,Arsenal,2,True,2023-12-09T17:30:00Z,1,0,16,90,0,0,1,0,0,0,0,1,0,0,0,7,10.4,12.3,4.0,2.7,1,0.01,0.01,0.02,1.36,56,-42857,1087573,48478,91335,43,Douglas Luiz Soares de Paulo,55,MID,Aston Villa,Sheffield Utd,Aston Villa
42,44,151,Arsenal,0,True,2023-12-09T17:30:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,-411,20466,737,1148,44,Jhon Durán,50,FWD,Aston Villa,Sheffield Utd,Aston Villa
43,45,151,Arsenal,0,True,2023-12-09T17:30:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-177,20150,291,468,45,Kortney Hause,40,DEF,Aston Villa,Sheffield Utd,Aston Villa
44,46,151,Arsenal,0,True,2023-12-09T17:30:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-25,2306,55,80,46,Tim Iroegbunam,44,MID,Aston Villa,Sheffield Utd,Aston Villa
45,47,151,Arsenal,3,True,2023-12-09T17:30:00Z,1,0,16,66,0,0,1,0,0,0,0,0,0,0,0,7,15.4,3.2,0.0,1.9,1,0.00,0.01,0.01,1.25,50,168,11736,524,356,47,Boubacar Kamara,50,MID,Aston Villa,Sheffield Utd,Aston Villa
46,48,151,Arsenal,6,True,2023-12-09T17:30:00Z,1,0,16,65,0,0,1,0,0,0,0,0,0,0,0,20,8.0,1.0,0.0,0.9,1,0.00,0.00,0.00,1.25,45,7389,143199,10412,3023,48,Ezri Konsa Ngoyo,45,DEF,Aston Villa,Sheffield Utd,Aston Villa
47,49,151,Arsenal,10,True,2023-12-09T17:30:00Z,1,0,16,90,0,0,1,0,0,0,0,0,0,3,3,29,29.2,10.0,0.0,3.9,1,0.00,0.00,0.00,1.36,50,79040,830216,92097,13057,49,Emiliano Martínez Romero,51,GKP,Aston Villa,Sheffield Utd,Aston Villa
48,50,151,Arsenal,9,True,2023-12-09T17:30:00Z,1,0,16,90,1,0,1,0,0,0,0,1,0,0,2,27,48.6,11.3,26.0,8.6,1,0.20,0.02,0.22,1.36,55,-352,83104,4533,4885,50,John McGinn,55,MID,Aston Villa,Sheffield Utd,Aston Villa
49,51,151,Arsenal,0,True,2023-12-09T17:30:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,41,-2136,134936,80,2216,51,Tyrone Mings,41,DEF,Aston Villa,Sheffield Utd,Aston Villa
50,53,151,Arsenal,0,True,2023-12-09T17:30:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,39,126,73064,1486,1360,53,Robin Olsen,39,GKP,Aston Villa,Sheffield Utd,Aston Villa
51,54,151,Arsenal,0,True,2023-12-09T17:30:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-85,6081,0,85,54,Jaden Philogene-Bidace,45,MID,Aston Villa,Sheffield Utd,Aston Villa
52,55,151,Arsenal,1,True,2023-12-09T17:30:00Z,1,0,16,34,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0.8,4.0,0.8,0,0.00,0.00,0.00,0.64,59,366,8099,612,246,55,Jacob Ramsey,59,MID,Aston Villa,Sheffield Utd,Aston Villa
53,56,151,Arsenal,0,True,2023-12-09T17:30:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-4,433,0,4,56,Morgan Sanson,45,MID,Aston Villa,Sheffield Utd,Aston Villa
54,57,151,Arsenal,0,True,2023-12-09T17:30:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-6,382,0,6,57,Viljami Sinisalo,40,GKP,Aston Villa,Sheffield Utd,Aston Villa
55,58,151,Arsenal,1,True,2023-12-09T17:30:00Z,1,0,16,55,0,0,0,0,0,0,0,0,0,0,0,1,6.0,1.0,2.0,0.9,1,0.00,0.01,0.01,0.72,56,722,52187,1497,775,58,Youri Tielemans,56,MID,Aston Villa,Sheffield Utd,Aston Villa
56,59,151,Arsenal,0,True,2023-12-09T17:30:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,-45,1843,10,55,59,Bertrand Traoré,50,MID,Aston Villa,Sheffield Utd,Aston Villa
57,60,151,Arsenal,2,True,2023-12-09T17:30:00Z,1,0,16,90,0,0,1,0,0,0,0,0,0,0,0,-1,5.2,1.5,25.0,3.2,1,0.17,0.00,0.17,1.36,84,68237,3977574,135035,66798,60,Ollie Watkins,86,FWD,Aston Villa,Sheffield Utd,Aston Villa
58,61,151,Arsenal,0,True,2023-12-09T17:30:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,50,-4,526,0,4,61,Wesley Moraes Ferreira da Silva,50,FWD,Aston Villa,Sheffield Utd,Aston Villa
59,584,151,Arsenal,6,True,2023-12-09T17:30:00Z,1,0,16,90,0,0,1,0,0,0,0,0,0,0,0,25,15.0,1.1,0.0,1.6,1,0.00,0.01,0.01,1.36,46,45204,485674,55324,10120,584,Pau Torres,47,DEF,Aston Villa,Sheffield Utd,Aston Villa
60,599,151,Arsenal,1,True,2023-12-09T17:30:00Z,1,0,16,45,0,0,0,0,0,0,0,0,0,0,0,4,5.2,20.8,6.0,3.2,0,0.00,0.09,0.09,0.64,67,-147910,1142526,32611,180521,599,Moussa Diaby,67,MID,Aston Villa,Sheffield Utd,Aston Villa
61,618,151,Arsenal,0,True,2023-12-09T17:30:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-125,5906,98,223,618,Omari Kellyman,45,MID,Aston Villa,Sheffield Utd,Aston Villa
62,670,163,Brentford,0,False,2023-12-17T14:00:00Z,1,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,91,3108,231,140,670,Filip Marschall,40,GKP,Aston Villa,Sheffield Utd,Aston Villa
63,62,157,Man Utd,0,False,2023-12-09T15:00:00Z,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,-54,4732,0,54,62,Jaidon Anthony,49,MID,Nott'm Forest,Bournemouth,Bournemouth
64,63,157,Man Utd,6,False,2023-12-09T15:00:00Z,0,3,16,32,1,0,0,0,0,0,0,0,0,0,0,27,42.4,14.8,35.0,9.2,0,0.32,0.19,0.51,0.37,52,-670,34885,1189,1859,63,Philip Billing,52,MID,Nott'm Forest,Bournemouth,Bournemouth
65,64,157,Man Utd,0,False,2023-12-09T15:00:00Z,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,48,-186,7189,75,261,64,David Brooks,48,MID,Nott'm Forest,Bournemouth,Bournemouth
66,65,157,Man Utd,3,False,2023-12-09T15:00:00Z,0,3,16,90,0,0,1,0,0,0,0,0,0,0,0,10,26.8,2.8,0.0,3.0,1,0.00,0.01,0.01,1.16,50,426,7314,1180,754,65,Ryan Christie,50,MID,Nott'm Forest,Bournemouth,Bournemouth
67,66,157,Man Utd,8,False,2023-12-09T15:00:00Z,0,3,16,87,0,1,1,0,0,0,0,0,0,0,2,31,42.6,39.3,0.0,8.2,1,0.00,0.23,0.23,1.16,50,16,2090,71,55,66,Lewis Cook,50,MID,Nott'm Forest,Bournemouth,Bournemouth
68,67,157,Man Utd,0,False,2023-12-09T15:00:00Z,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-1,267,0,1,67,Siriki Dembélé,45,MID,Nott'm Forest,Bournemouth,Bournemouth
69,68,157,Man Utd,0,False,2023-12-09T15:00:00Z,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,43,-18,1184,19,37,68,Ryan Fredericks,43,DEF,Nott'm Forest,Bournemouth,Bournemouth
70,69,157,Man Utd,0,False,2023-12-09T15:00:00Z,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-194,12876,0,194,69,James Hill,40,DEF,Nott'm Forest,Bournemouth,Bournemouth
71,70,157,Man Utd,0,False,2023-12-09T15:00:00Z,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-817,5334,17,834,70,Lloyd Kelly,45,DEF,Nott'm Forest,Bournemouth,Bournemouth
72,71,157,Man Utd,0,False,2023-12-09T15:00:00Z,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-96,6364,74,170,71,Gavin Kilkenny,43,MID,Nott'm Forest,Bournemouth,Bournemouth
73,72,157,Man Utd,3,False,2023-12-09T15:00:00Z,0,3,16,71,0,0,1,0,0,0,0,0,0,0,0,5,6.4,2.6,0.0,0.9,1,0.00,0.01,0.01,1.09,46,2680,39148,5556,2876,72,Justin Kluivert,46,MID,Nott'm Forest,Bournemouth,Bournemouth
74,73,157,Man Utd,0,False,2023-12-09T15:00:00Z,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,-4,916,0,4,73,Jamal Lowe,49,MID,Nott'm Forest,Bournemouth,Bournemouth
75,74,157,Man Utd,0,False,2023-12-09T15:00:00Z,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,43,691,7684,1699,1008,74,Emiliano Marcondes,43,MID,Nott'm Forest,Bournemouth,Bournemouth
76,75,157,Man Utd,0,False,2023-12-09T15:00:00Z,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,43,-38,5418,59,97,75,Chris Mepham,43,DEF,Nott'm Forest,Bournemouth,Bournemouth
77,76,157,Man Utd,0,False,2023-12-09T15:00:00Z,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,47,961,25507,1728,767,76,Kieffer Moore,47,FWD,Nott'm Forest,Bournemouth,Bournemouth
78,77,157,Man Utd,7,False,2023-12-09T15:00:00Z,0,3,16,90,0,0,1,0,0,0,0,0,0,3,0,27,22.4,0.0,0.0,2.2,1,0.00,0.00,0.00,1.16,45,20537,171032,25500,4963,77,Norberto Murara Neto,46,GKP,Nott'm Forest,Bournemouth,Bournemouth
79,78,157,Man Utd,1,False,2023-12-09T15:00:00Z,0,3,16,2,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.3,2.0,0.2,0,0.00,0.01,0.01,0.00,47,-17,1481,40,57,78,Dango Ouattara,47,MID,Nott'm Forest,Bournemouth,Bournemouth
80,79,157,Man Utd,0,False,2023-12-09T15:00:00Z,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,0,85,0,0,79,Ben Pearson,45,MID,Nott'm Forest,Bournemouth,Bournemouth
81,80,157,Man Utd,0,False,2023-12-09T15:00:00Z,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-508,45420,205,713,80,Darren Randolph,40,GKP,Nott'm Forest,Bournemouth,Bournemouth
82,81,157,Man Utd,1,False,2023-12-09T15:00:00Z,0,3,16,2,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.3,0.0,0.1,0,0.00,0.00,0.00,0.00,48,-31,1866,12,43,81,Joe Rothwell,48,MID,Nott'm Forest,Bournemouth,Bournemouth
83,82,157,Man Utd,1,False,2023-12-09T15:00:00Z,0,3,16,57,0,0,0,0,0,0,0,0,0,0,0,2,2.4,21.0,4.0,2.7,1,0.00,0.05,0.05,0.80,46,22579,411876,36913,14334,82,Antoine Semenyo,46,FWD,Nott'm Forest,Bournemouth,Bournemouth
84,83,157,Man Utd,15,False,2023-12-09T15:00:00Z,0,3,16,90,1,0,1,0,0,0,0,0,0,0,3,39,71.2,10.7,17.0,9.9,1,0.11,0.01,0.12,1.16,43,12599,28891,13780,1181,83,Marcos Senesi,44,DEF,Nott'm Forest,Bournemouth,Bournemouth
85,84,157,Man Utd,6,False,2023-12-09T15:00:00Z,0,3,16,90,0,0,1,0,0,0,0,0,0,0,0,22,14.8,0.8,0.0,1.6,1,0.00,0.00,0.00,1.16,44,195,3270,505,310,84,Adam Smith,44,DEF,Nott'm Forest,Bournemouth,Bournemouth
86,85,157,Man Utd,7,False,2023-12-09T15:00:00Z,0,3,16,90,1,0,1,0,0,0,0,0,0,0,1,28,35.2,1.2,44.0,8.0,1,0.87,0.03,0.90,1.16,65,18856,665840,67274,48418,85,Dominic Solanke,68,FWD,Nott'm Forest,Bournemouth,Bournemouth
87,86,157,Man Utd,9,False,2023-12-09T15:00:00Z,0,3,16,87,0,2,1,0,0,0,0,1,0,0,1,28,43.2,43.3,20.0,10.7,1,0.10,0.22,0.32,1.16,54,-504,26377,5022,5526,86,Marcus Tavernier,54,MID,Nott'm Forest,Bournemouth,Bournemouth
88,87,157,Man Utd,0,False,2023-12-09T15:00:00Z,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,47,-37,1712,17,54,87,Hamed Traorè,47,MID,Nott'm Forest,Bournemouth,Bournemouth
89,88,157,Man Utd,0,False,2023-12-09T15:00:00Z,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-113,8959,0,113,88,Mark Travers,40,GKP,Nott'm Forest,Bournemouth,Bournemouth
90,89,157,Man Utd,6,False,2023-12-09T15:00:00Z,0,3,16,90,0,0,1,0,0,0,0,0,0,0,0,23,23.4,0.3,4.0,2.8,1,0.07,0.01,0.08,1.16,44,160,13612,1308,1148,89,Illia Zabarnyi,44,DEF,Nott'm Forest,Bournemouth,Bournemouth
