,name,team,minutes
515,Frederico Rodrigues de Paula Santos,Man Utd,0.0
517,Scott McTominay,Man Utd,90.0
520,Siriki Dembélé,Bournemouth,0.0
521,Gavin Kilkenny,Bournemouth,0.0
526,Hamed Traorè,Bournemouth,0.0
528,Morgan Gibbs-White,Nott'm Forest,45.0
531,Carlos Henrique Casimiro,Man Utd,0.0
536,Facundo Pellistri Rebollo,Man Utd,0.0
537,Jonjo Shelvey,Nott'm Forest,0.0
538,Ryan Yates,Nott'm Forest,45.0
539,Josh Bowler,Nott'm Forest,0.0
540,Alejandro Garnacho,Man Utd,90.0
541,Justin Kluivert,Bournemouth,61.0
543,Bruno Borges Fernandes,Man Utd,90.0
549,Harry Arter,Nott'm Forest,0.0
551,Brandon Aguilera Zamora,Nott'm Forest,0.0
552,Braian Ojeda Rodríguez,Nott'm Forest,0.0
553,Hannibal Mejbri,Man Utd,0.0
554,Lewis O'Brien,Nott'm Forest,0.0
556,Matthew Dibley-Dias,Fulham,0.0
559,Saša Lukić,Fulham,11.0
561,Alex Iwobi,Fulham,75.0
564,Bobby De Cordova-Reid,Fulham,14.0
567,Harry Wilson,Fulham,27.0
571,Tom Cairney,Fulham,90.0
576,Tyrese Francois,Fulham,0.0
577,Willian Borges da Silva,Fulham,62.0
578,Ivan Neves Abreu Cavaleiro,Fulham,0.0
579,João Palhinha Gonçalves,Fulham,78.0
580,Harrison Reed,Fulham,0.0
581,Andreas Hoelgebaum Pereira,Fulham,90.0
584,Anthony Knockaert,Fulham,0.0
591,Carlos Mendes Gomes,Luton,0.0
596,Dion Pereira,Luton,0.0
599,Jordan Ayew,Crystal Palace,90.0
601,Jesurun Rak-Sakyi,Crystal Palace,0.0
602,Jordan Clark,Luton,2.0
603,Jeffrey Schlupp,Crystal Palace,68.0
608,Jairo Riedewald,Crystal Palace,0.0
612,Pelly Ruddock Mpanzu,Luton,87.0
614,Will Hughes,Crystal Palace,21.0
616,Cheick Doucouré,Crystal Palace,0.0
620,Jefferson Lerma Solís,Crystal Palace,85.0
624,Marvelous Nakamba,Luton,0.0
625,Eberechi Eze,Crystal Palace,0.0
626,Luke Freeman,Luton,0.0
627,Luke Berry,Luton,0.0
628,Louie Watson,Luton,0.0
629,Allan Campbell,Luton,0.0
630,Malcolm Ebiowei,Crystal Palace,0.0
633,Fred Onyedinma,Luton,0.0
634,Ross Barkley,Luton,90.0
635,Glen Rea,Luton,0.0
636,Naouirou Ahamada,Crystal Palace,21.0
637,Matheus França de Oliveira,Crystal Palace,0.0
642,Tahith Chong,Luton,29.0
643,Ethan Brierley,Brentford,0.0
647,Elliot Thorpe,Luton,0.0
649,Michael Olise,Crystal Palace,90.0
653,Callum Hudson-Odoi,Nott'm Forest,57.0
654,Vini de Souza Costa,Sheffield Utd,85.0
656,Andre Brooks,Sheffield Utd,73.0
659,Tom Davies,Sheffield Utd,0.0
660,Gustavo Hamer,Sheffield Utd,90.0
672,Ben Osborn,Sheffield Utd,0.0
674,John Fleck,Sheffield Utd,16.0
677,Anis Slimane,Sheffield Utd,0.0
682,Ismaila Coulibaly,Sheffield Utd,0.0
683,Oliver Norwood,Sheffield Utd,4.0
