,name,team,minutes
118,Mohamed Salah,Liverpool,1
125,Thiago Alcántara do Nascimento,Liverpool,0
128,Jordan Henderson,Liverpool,0
129,Alexis Mac Allister,Liverpool,1
130,Stefan Bajcetic,Liverpool,0
131,Harvey Elliott,Liverpool,0
137,Fabio Henrique Tavares,Liverpool,0
141,James Milner,Brighton,1
142,Jakub Moder,Brighton,0
145,Jeremy Sarmiento Morante,Brighton,0
147,Mahmoud Dahoud,Brighton,0
150,Julio Enciso,Brighton,0
151,Kaoru Mitoma,Brighton,1
153,Facundo Buonanotte,Brighton,1
155,Kacper Kozłowski,Brighton,0
157,Billy Gilmour,Brighton,1
158,Yasin Ayari,Brighton,0
160,Steven Alzate,Brighton,0
161,Solly March,Brighton,0
162,Simon Adingra,Brighton,1
164,Pascal Groß,Brighton,1
167,Adam Lallana,Brighton,1
173,Kai Havertz,Arsenal,1
175,Thomas Partey,Arsenal,0
177,Jorge Luiz Frello Filho,Arsenal,0
178,Emile Smith Rowe,Arsenal,0
180,Reiss Nelson,Arsenal,0
184,Gabriel Martinelli Silva,Arsenal,1
186,Granit Xhaka,Arsenal,0
189,Leandro Trossard,Arsenal,1
190,Bukayo Saka,Arsenal,1
191,Fábio Ferreira Vieira,Arsenal,0
192,Nicolas Pépé,Arsenal,0
193,Declan Rice,Arsenal,1
194,Martin Ødegaard,Arsenal,1
195,Mohamed Elneny,Arsenal,0
198,Marcus Oliveira Alencar,Arsenal,0
203,Han-Noah Massengo,Burnley,0
205,James Ward-Prowse,West Ham,1
206,Mike Trésor,Burnley,1
207,Jack Hinshelwood,Brighton,1
210,Pierre-Emile Højbjerg,Spurs,1
211,Bryan Gil Salvatierra,Spurs,1
212,Moisés Caicedo Corozo,Chelsea,1
215,Rodrigo Bentancur,Spurs,0
219,Yves Bissouma,Spurs,1
222,Richarlison de Andrade,Spurs,0
223,Dejan Kulusevski,Spurs,1
224,James Maddison,Spurs,0
228,Pape Matar Sarr,Spurs,0
230,Oliver Skipp,Spurs,1
232,Son Heung-min,Spurs,1
235,Giovani Lo Celso,Spurs,1
236,Manor Solomon,Spurs,0
238,Tanguy Ndombélé Alvaro,Spurs,0
244,Cole Palmer,Chelsea,1
247,Edson Álvarez Velázquez,West Ham,1
250,Tommy Doyle,Wolves,1
257,Diego Manuel Jadon da Silva Moreira,Chelsea,0
263,Tomáš Souček,West Ham,1
266,Daniel Gore,Man Utd,0
267,Conor Coventry,West Ham,0
269,Jarrod Bowen,West Ham,1
274,Saïd Benrahma,West Ham,0
279,Flynn Downes,West Ham,0
280,Carlos Baleba,Brighton,0
281,Anssumane Fati Vieira,Brighton,0
283,Pablo Fornals Malla,West Ham,1
284,Maxwel Cornet,West Ham,0
285,Lucas Tolentino Coelho de Lima,West Ham,1
287,Nicolò Zaniolo,Aston Villa,0
288,Nikola Vlašić,West Ham,0
293,Lesley Ugochukwu,Chelsea,0
295,Noni Madueke,Chelsea,0
300,Raheem Sterling,Chelsea,1
301,Mykhailo Mudryk,Chelsea,1
305,Ângelo Gabriel Borges Damaceno,Chelsea,0
306,Conor Gallagher,Chelsea,1
307,Ian Maatsen,Chelsea,1
313,Carney Chukwuemeka,Chelsea,0
314,Hakim Ziyech,Chelsea,0
315,Enzo Fernández,Chelsea,1
316,Christian Pulisic,Chelsea,0
318,Brennan Johnson,Spurs,1
321,Bryan Mbeumo,Brentford,1
322,Josh Dasilva,Brentford,0
324,Keane Lewis-Potter,Brentford,1
326,Frank Onyeka,Brentford,1
329,Shandon Baptiste,Brentford,1
330,Sergi Canós Tenés,Brentford,0
333,Vitaly Janelt,Brentford,1
335,Mads Bidstrup,Brentford,0
339,Christian Nørgaard,Brentford,1
341,Mathias Jensen,Brentford,0
343,Kevin Schade,Brentford,0
346,Mikkel Damsgaard,Brentford,0
347,Ryan Trevitt,Brentford,0
350,João Victor Gomes da Silva,Wolves,0
351,Gonçalo Manuel Ganchinho Guedes,Wolves,0
352,Boubacar Traoré,Wolves,1
358,Francisco Jorge Tomás Oliveira,Wolves,0
