,name,team,minutes
669,Ashley Phillips,Spurs,0
670,Bashir Humphreys,Chelsea,0
672,Clément Lenglet,Aston Villa,0
682,Fodé Ballo-Touré,Fulham,1
683,Gonzalo Montiel,Nott'm Forest,0
685,Hannes Delcroix,Burnley,0
691,Jonny Evans,Man Utd,0
692,Joseph Johnson,Luton,0
693,Josh Brooking,Chelsea,0
695,Konstantinos Mavropanos,West Ham,0
698,Luke Thomas,Sheffield Utd,1
702,Murillo Santiago Costa dos Santos,Nott'm Forest,1
714,Santiago Bueno,Wolves,0
718,Timothy Castagne,Fulham,1
